year,Tm,Attendance,Attend/G,W,L
1905,Pittsburgh Pirates,"369,124","4,732",96.0,57.0
1905,St. Louis Cardinals,"292,800","3,803",58.0,96.0
1905,Philadelphia Athletics,"554,576","7,494",92.0,56.0
1905,New York Highlanders,"309,100","4,121",71.0,78.0
1905,New York Giants,"552,700","7,272",105.0,48.0
1905,St. Louis Browns,"339,112","4,293",54.0,99.0
1905,Brooklyn Superbas,"227,924","2,960",48.0,104.0
1905,Cleveland Napoleons,"316,306","4,108",76.0,78.0
1905,Chicago White Sox,"687,419","8,383",92.0,60.0
1905,Cincinnati Reds,"313,927","3,974",79.0,74.0
1905,Washington Nationals,"252,027","3,273",64.0,87.0
1905,Boston Nationals,"150,003","1,974",51.0,103.0
1905,Philadelphia Phillies,"317,932","4,183",83.0,69.0
1905,Boston Americans,"468,828","6,089",78.0,74.0
1906,Chicago Cubs,"654,300","8,282",116.0,36.0
1906,Washington Nationals,"129,903","1,732",55.0,95.0
1906,Pittsburgh Pirates,"394,877","5,128",93.0,60.0
1906,St. Louis Cardinals,"283,770","3,685",52.0,98.0
1906,Philadelphia Athletics,"489,129","6,700",78.0,67.0
1906,New York Highlanders,"434,700","5,720",90.0,61.0
1906,New York Giants,"402,850","5,371",96.0,56.0
1906,St. Louis Browns,"389,157","5,120",76.0,73.0
1906,Brooklyn Superbas,"277,400","3,650",66.0,86.0
1906,Cleveland Naps,"325,733","4,123",89.0,64.0
1906,Chicago White Sox,"585,202","7,408",93.0,58.0
1906,Cincinnati Reds,"330,056","4,231",64.0,87.0
1906,Boston Americans,"410,209","5,327",49.0,105.0
1906,Boston Nationals,"143,280","1,885",49.0,102.0
1906,Philadelphia Phillies,"294,680","3,827",71.0,82.0
1906,Detroit Tigers,"174,043","2,231",71.0,78.0
1907,Chicago Cubs,"422,550","5,560",107.0,45.0
1907,Detroit Tigers,"297,079","3,760",92.0,58.0
1907,Pittsburgh Pirates,"319,506","4,149",91.0,63.0
1907,St. Louis Cardinals,"185,377","2,347",52.0,101.0
1907,Philadelphia Athletics,"625,581","8,570",88.0,57.0
1907,New York Highlanders,"350,020","4,667",70.0,78.0
1907,New York Giants,"538,350","6,992",82.0,71.0
1907,St. Louis Browns,"419,025","5,513",69.0,83.0
1907,Brooklyn Superbas,"312,500","4,058",65.0,83.0
1907,Cleveland Naps,"382,046","4,659",85.0,67.0
1907,Chicago White Sox,"666,307","8,434",87.0,64.0
1907,Cincinnati Reds,"317,500","3,920",66.0,87.0
1907,Washington Nationals,"221,929","2,959",49.0,102.0
1907,Boston Doves,"203,221","2,746",58.0,90.0
1907,Philadelphia Phillies,"341,216","4,550",83.0,64.0
1907,Boston Americans,"436,777","5,600",59.0,90.0
1908,Chicago Cubs,"665,325","8,530",99.0,55.0
1908,Detroit Tigers,"436,199","5,592",90.0,63.0
1908,Pittsburgh Pirates,"382,444","4,967",98.0,56.0
1908,St. Louis Cardinals,"205,129","2,664",49.0,105.0
1908,Philadelphia Athletics,"455,062","5,834",68.0,85.0
1908,New York Highlanders,"305,500","3,968",51.0,103.0
1908,New York Giants,"910,000","11,375",98.0,56.0
1908,St. Louis Browns,"618,947","7,935",83.0,69.0
1908,Brooklyn Superbas,"275,600","3,579",53.0,101.0
1908,Cleveland Naps,"422,262","5,414",90.0,64.0
1908,Chicago White Sox,"636,096","8,155",88.0,64.0
1908,Cincinnati Reds,"399,200","5,184",73.0,81.0
1908,Boston Red Sox,"473,048","6,143",75.0,79.0
1908,Boston Doves,"253,750","3,253",63.0,91.0
1908,Washington Nationals,"264,252","3,388",67.0,85.0
1908,Philadelphia Phillies,"420,660","5,393",83.0,71.0
1909,Chicago Cubs,"633,480","8,227",104.0,49.0
1909,Detroit Tigers,"490,490","6,288",98.0,54.0
1909,Pittsburgh Pirates,"534,950","6,772",110.0,42.0
1909,St. Louis Cardinals,"299,982","3,947",54.0,98.0
1909,Philadelphia Athletics,"674,915","8,880",95.0,58.0
1909,New York Highlanders,"501,000","6,506",74.0,77.0
1909,New York Giants,"783,700","10,178",92.0,61.0
1909,St. Louis Browns,"366,274","4,636",61.0,89.0
1909,Brooklyn Superbas,"321,300","4,067",55.0,98.0
1909,Cleveland Naps,"354,627","4,606",71.0,82.0
1909,Chicago White Sox,"478,400","5,906",78.0,74.0
1909,Cincinnati Reds,"424,643","5,308",77.0,76.0
1909,Washington Nationals,"205,199","2,665",42.0,110.0
1909,Boston Doves,"195,188","2,568",45.0,108.0
1909,Philadelphia Phillies,"303,177","3,937",74.0,79.0
1909,Boston Red Sox,"668,965","8,920",88.0,63.0
1910,Chicago Cubs,"526,152","6,833",104.0,50.0
1910,Washington Nationals,"254,591","3,306",66.0,85.0
1910,Pittsburgh Pirates,"436,586","5,745",86.0,67.0
1910,St. Louis Cardinals,"355,668","4,680",63.0,90.0
1910,Philadelphia Athletics,"588,905","7,550",102.0,48.0
1910,New York Highlanders,"355,857","4,622",88.0,63.0
1910,New York Giants,"511,785","6,478",91.0,63.0
1910,St. Louis Browns,"249,889","3,163",47.0,107.0
1910,Brooklyn Superbas,"279,321","3,492",64.0,90.0
1910,Cleveland Naps,"293,456","3,668",71.0,81.0
1910,Chicago White Sox,"552,084","6,988",68.0,85.0
1910,Cincinnati Reds,"380,622","4,943",75.0,79.0
1910,Boston Red Sox,"584,619","7,308",81.0,72.0
1910,Boston Doves,"149,027","1,911",53.0,100.0
1910,Philadelphia Phillies,"296,597","3,803",78.0,75.0
1910,Detroit Tigers,"391,288","5,017",86.0,68.0
1911,Boston Red Sox,"503,961","6,631",78.0,75.0
1911,Philadelphia Phillies,"416,000","5,474",79.0,73.0
1911,Boston,"116,000","1,547",44.0,107.0
1911,Washington Nationals,"244,884","3,180",64.0,90.0
1911,Cincinnati Reds,"300,000","3,659",70.0,83.0
1911,Chicago White Sox,"583,208","7,477",77.0,74.0
1911,Cleveland Naps,"406,296","5,277",80.0,73.0
1911,Brooklyn Dodgers,"269,000","3,635",64.0,86.0
1911,St. Louis Browns,"207,984","2,666",45.0,107.0
1911,New York Giants,"675,000","9,000",99.0,54.0
1911,New York Highlanders,"302,444","3,928",76.0,76.0
1911,Philadelphia Athletics,"605,749","8,077",101.0,50.0
1911,St. Louis Cardinals,"447,768","5,668",75.0,74.0
1911,Pittsburgh Pirates,"432,000","5,538",85.0,69.0
1911,Detroit Tigers,"484,988","6,381",89.0,65.0
1911,Chicago Cubs,"576,000","6,857",92.0,62.0
1912,Washington Nationals,"350,663","4,496",91.0,61.0
1912,Detroit Tigers,"402,870","5,301",69.0,84.0
1912,Cincinnati Reds,"344,000","4,468",75.0,78.0
1912,Boston Red Sox,"597,096","7,655",105.0,47.0
1912,Boston Braves,"121,000","1,532",52.0,101.0
1912,Chicago Cubs,"514,000","6,590",91.0,59.0
1912,Brooklyn Dodgers,"243,000","3,197",58.0,95.0
1912,Cleveland Naps,"336,844","4,375",75.0,78.0
1912,Philadelphia Phillies,"250,000","3,333",73.0,79.0
1912,St. Louis Cardinals,"241,759","3,140",63.0,90.0
1912,St. Louis Browns,"214,070","2,710",53.0,101.0
1912,Pittsburgh Pirates,"384,000","5,120",93.0,58.0
1912,New York Highlanders,"242,194","3,187",50.0,102.0
1912,Philadelphia Athletics,"517,653","6,723",90.0,62.0
1912,New York Giants,"638,000","8,395",103.0,48.0
1912,Chicago White Sox,"602,241","7,721",78.0,76.0
1913,Boston Red Sox,"437,194","5,829",79.0,71.0
1913,Pittsburgh Pirates,"296,000","3,747",78.0,71.0
1913,Philadelphia Phillies,"470,000","6,026",88.0,63.0
1913,New York Yankees,"357,551","4,767",57.0,94.0
1913,St. Louis Cardinals,"203,531","2,750",51.0,99.0
1913,St. Louis Browns,"250,330","3,251",57.0,96.0
1913,Washington Nationals,"325,831","4,177",90.0,64.0
1913,Philadelphia Athletics,"571,896","7,525",96.0,57.0
1913,New York Giants,"630,000","7,778",101.0,51.0
1913,Detroit Tigers,"398,502","5,243",66.0,87.0
1913,Cleveland Naps,"541,000","6,763",86.0,66.0
1913,Cincinnati Reds,"258,000","3,308",64.0,89.0
1913,Chicago White Sox,"644,501","8,370",78.0,74.0
1913,Chicago Cubs,"419,000","5,513",88.0,65.0
1913,Boston Braves,"208,000","2,701",69.0,82.0
1913,Brooklyn Dodgers,"347,000","4,506",65.0,84.0
1914,New York Yankees,"359,477","4,609",70.0,84.0
1914,New York Giants,"364,313","4,554",84.0,70.0
1914,Kansas City Packers,,,67.0,84.0
1914,Indianapolis Hoosiers,,,88.0,65.0
1914,Detroit Tigers,"416,225","5,336",80.0,73.0
1914,Cleveland Naps,"185,997","2,354",51.0,102.0
1914,Cincinnati Reds,"100,791","1,309",60.0,94.0
1914,Washington Nationals,"243,888","3,167",81.0,73.0
1914,Chicago White Sox,"469,290","5,794",70.0,84.0
1914,Pittsburgh Rebels,,,64.0,86.0
1914,Philadelphia Athletics,"346,641","4,444",99.0,53.0
1914,Philadelphia Phillies,"138,474","1,775",74.0,80.0
1914,Pittsburgh Pirates,"139,620","1,813",69.0,85.0
1914,St. Louis Browns,"244,714","3,021",71.0,82.0
1914,St. Louis Terriers,,,62.0,89.0
1914,St. Louis Cardinals,"256,099","3,242",81.0,72.0
1914,Baltimore Terrapins,,,84.0,70.0
1914,Boston Red Sox,"481,359","6,093",91.0,62.0
1914,Brooklyn Dodgers,"122,671","1,553",75.0,79.0
1914,Boston Braves,"382,913","4,847",94.0,59.0
1914,Brooklyn Tip-Tops,,,77.0,77.0
1914,Buffalo Buffeds,,,80.0,71.0
1914,Chicago Cubs,"202,516","2,665",78.0,76.0
1914,Chicago Chi-Feds,,,87.0,67.0
1915,Chicago Whales,,,86.0,66.0
1915,Chicago Cubs,"217,058","2,819",73.0,80.0
1915,Buffalo Blues,,,74.0,78.0
1915,Brooklyn Tip-Tops,,,70.0,82.0
1915,Boston Braves,"376,283","4,824",83.0,69.0
1915,Brooklyn Dodgers,"297,766","3,818",80.0,72.0
1915,Boston Red Sox,"539,885","7,104",101.0,50.0
1915,Chicago White Sox,"539,461","6,829",93.0,61.0
1915,Baltimore Terrapins,,,47.0,107.0
1915,St. Louis Cardinals,"252,666","3,119",72.0,81.0
1915,St. Louis Terriers,,,87.0,67.0
1915,St. Louis Browns,"150,358","1,978",63.0,91.0
1915,Pittsburgh Pirates,"225,743","2,858",73.0,81.0
1915,Philadelphia Phillies,"449,898","5,920",90.0,62.0
1915,Philadelphia Athletics,"146,223","1,976",43.0,109.0
1915,Pittsburgh Rebels,,,86.0,67.0
1915,Washington Nationals,"167,332","2,092",85.0,68.0
1915,New York Yankees,"256,035","3,122",69.0,83.0
1915,Newark Pepper,,,80.0,72.0
1915,New York Giants,"391,850","5,156",69.0,83.0
1915,Detroit Tigers,"476,105","6,183",100.0,54.0
1915,Cleveland Indians,"159,285","2,069",57.0,95.0
1915,Cincinnati Reds,"218,878","2,771",71.0,83.0
1915,Kansas City Packers,,,81.0,72.0
1916,Brooklyn Robins,"447,747","5,740",94.0,60.0
1916,St. Louis Browns,"335,740","4,250",79.0,75.0
1916,Philadelphia Phillies,"515,365","6,524",91.0,62.0
1916,New York Yankees,"469,211","5,939",80.0,74.0
1916,Washington Nationals,"177,265","2,188",76.0,77.0
1916,St. Louis Cardinals,"224,308","2,951",60.0,93.0
1916,Pittsburgh Pirates,"289,132","3,707",65.0,89.0
1916,Philadelphia Athletics,"184,471","2,427",36.0,117.0
1916,Boston Red Sox,"496,397","6,364",91.0,63.0
1916,Boston Braves,"313,495","4,019",89.0,63.0
1916,Chicago Cubs,"453,685","5,743",67.0,86.0
1916,Chicago White Sox,"679,923","8,830",89.0,65.0
1916,Cincinnati Reds,"255,846","3,366",60.0,93.0
1916,Cleveland Indians,"492,106","6,309",77.0,77.0
1916,Detroit Tigers,"616,772","8,010",87.0,67.0
1916,New York Giants,"552,056","7,078",86.0,66.0
1917,Washington Nationals,"89,682","1,121",74.0,79.0
1917,St. Louis Cardinals,"288,491","3,699",82.0,70.0
1917,St. Louis Browns,"210,486","2,699",57.0,97.0
1917,Pittsburgh Pirates,"192,807","2,441",51.0,103.0
1917,Philadelphia Phillies,"354,428","4,664",87.0,65.0
1917,Philadelphia Athletics,"221,432","2,914",55.0,98.0
1917,New York Yankees,"330,294","4,404",71.0,82.0
1917,New York Giants,"500,264","6,253",98.0,56.0
1917,Detroit Tigers,"457,289","6,017",78.0,75.0
1917,Cleveland Indians,"477,298","6,119",88.0,66.0
1917,Cincinnati Reds,"269,056","3,363",78.0,76.0
1917,Chicago White Sox,"684,521","8,665",100.0,54.0
1917,Chicago Cubs,"360,218","4,678",74.0,80.0
1917,Boston Braves,"174,253","2,263",72.0,81.0
1917,Brooklyn Robins,"221,619","2,841",70.0,81.0
1917,Boston Red Sox,"387,856","4,848",90.0,62.0
1918,New York Giants,"256,618","4,582",71.0,53.0
1918,New York Yankees,"282,047","4,210",60.0,63.0
1918,Philadelphia Athletics,"177,926","2,617",52.0,76.0
1918,Philadelphia Phillies,"122,266","2,145",55.0,68.0
1918,Pittsburgh Pirates,"213,610","3,009",65.0,60.0
1918,St. Louis Browns,"122,076","2,303",58.0,64.0
1918,St. Louis Cardinals,"110,599","1,515",51.0,78.0
1918,Washington Nationals,"182,122","2,461",72.0,56.0
1918,Detroit Tigers,"203,719","3,512",55.0,71.0
1918,Cleveland Indians,"295,515","4,766",73.0,54.0
1918,Cincinnati Reds,"163,009","2,296",68.0,60.0
1918,Chicago White Sox,"195,081","3,484",57.0,67.0
1918,Chicago Cubs,"337,256","4,558",84.0,45.0
1918,Boston Braves,"84,938","1,633",53.0,71.0
1918,Brooklyn Robins,"83,831","1,552",57.0,69.0
1918,Boston Red Sox,"249,513","3,564",75.0,51.0
1919,Washington Nationals,"234,096","3,251",56.0,84.0
1919,St. Louis Cardinals,"167,059","2,421",54.0,83.0
1919,St. Louis Browns,"349,350","4,991",67.0,72.0
1919,Pittsburgh Pirates,"276,810","3,954",71.0,68.0
1919,Philadelphia Phillies,"240,424","3,386",47.0,90.0
1919,Philadelphia Athletics,"225,209","3,217",36.0,104.0
1919,New York Yankees,"619,164","8,482",80.0,59.0
1919,New York Giants,"708,857","10,273",87.0,53.0
1919,Boston Red Sox,"417,291","6,323",66.0,71.0
1919,Brooklyn Robins,"360,721","5,153",69.0,71.0
1919,Boston Braves,"167,401","2,462",57.0,82.0
1919,Chicago Cubs,"424,430","5,978",75.0,65.0
1919,Chicago White Sox,"627,186","8,960",88.0,52.0
1919,Cincinnati Reds,"532,501","7,607",96.0,44.0
1919,Cleveland Indians,"538,135","7,799",84.0,55.0
1919,Detroit Tigers,"643,805","9,197",80.0,60.0
1920,Boston Red Sox,"402,445","5,295",72.0,81.0
1920,Brooklyn Robins,"808,722","10,368",93.0,61.0
1920,Boston Braves,"162,483","2,196",62.0,90.0
1920,Chicago American Giants,,,43.0,17.0
1920,Chicago Cubs,"480,783","6,244",75.0,79.0
1920,Chicago White Sox,"833,492","10,825",96.0,58.0
1920,Cincinnati Reds,"568,107","7,378",82.0,71.0
1920,Indianapolis ABCs,,,44.0,38.0
1920,New York Yankees,"1,289,422","16,746",95.0,59.0
1920,Chicago Giants,,,5.0,31.0
1920,Detroit Tigers,"579,650","7,431",61.0,93.0
1920,Cuban Stars West,,,35.0,34.0
1920,Detroit Stars,,,37.0,27.0
1920,Kansas City Monarchs,,,44.0,33.0
1920,New York Giants,"929,609","11,620",86.0,68.0
1920,Dayton Marcos,,,16.0,36.0
1920,St. Louis Browns,"419,311","5,376",76.0,77.0
1920,Philadelphia Athletics,"287,888","3,739",48.0,106.0
1920,Pittsburgh Pirates,"429,037","5,500",79.0,75.0
1920,Philadelphia Phillies,"330,998","4,299",62.0,91.0
1920,St. Louis Cardinals,"326,836","4,300",75.0,79.0
1920,St. Louis Giants,,,32.0,40.0
1920,Washington Nationals,"359,260","4,727",68.0,84.0
1920,Cleveland Indians,"912,832","11,703",98.0,56.0
1921,New York Yankees,"1,230,696","15,778",98.0,55.0
1921,New York Giants,"973,477","12,322",94.0,59.0
1921,Kansas City Monarchs,,,54.0,41.0
1921,Detroit Stars,,,30.0,33.0
1921,Detroit Tigers,"661,527","8,591",71.0,82.0
1921,Cincinnati Cuban Stars,,,29.0,40.0
1921,Chicago Giants,,,10.0,35.0
1921,Columbus Buckeyes,,,30.0,38.0
1921,St. Louis Browns,"355,978","4,623",81.0,73.0
1921,Philadelphia Athletics,"344,430","4,473",53.0,100.0
1921,Pittsburgh Pirates,"701,567","9,231",90.0,63.0
1921,Philadelphia Phillies,"273,961","3,605",51.0,103.0
1921,St. Louis Cardinals,"384,773","4,933",87.0,66.0
1921,St. Louis Giants,,,43.0,31.0
1921,Washington Nationals,"456,069","6,001",80.0,73.0
1921,Indianapolis ABCs,,,37.0,37.0
1921,Cleveland Indians,"748,705","9,723",94.0,60.0
1921,Cincinnati Reds,"311,227","4,095",70.0,83.0
1921,Chicago White Sox,"543,650","7,060",62.0,92.0
1921,Chicago Cubs,"410,107","5,396",64.0,89.0
1921,Chicago American Giants,,,44.0,22.0
1921,Boston Braves,"318,627","4,306",79.0,74.0
1921,Brooklyn Robins,"613,245","7,862",77.0,75.0
1921,Boston Red Sox,"279,273","3,627",75.0,79.0
1922,Washington Nationals,"458,552","5,804",69.0,85.0
1922,St. Louis Cardinals,"536,998","6,974",85.0,69.0
1922,St. Louis Stars,,,26.0,36.0
1922,St. Louis Browns,"712,918","9,259",93.0,61.0
1922,Pittsburgh Pirates,"523,675","6,714",85.0,69.0
1922,Pittsburgh Keystones,,,14.0,24.0
1922,Philadelphia Phillies,"232,471","3,019",57.0,96.0
1922,Cleveland Indians,"528,145","6,602",78.0,76.0
1922,Boston Red Sox,"259,184","3,550",61.0,93.0
1922,Brooklyn Robins,"498,865","6,396",76.0,78.0
1922,Boston Braves,"167,965","2,210",53.0,100.0
1922,Chicago American Giants,,,37.0,24.0
1922,Chicago Cubs,"542,283","7,135",80.0,74.0
1922,Chicago White Sox,"602,860","7,829",77.0,77.0
1922,Cincinnati Reds,"493,754","6,250",86.0,68.0
1922,Indianapolis ABCs,,,50.0,34.0
1922,Detroit Stars,,,42.0,31.0
1922,New York Yankees,"1,026,134","13,326",94.0,60.0
1922,New York Giants,"945,809","11,972",93.0,61.0
1922,Kansas City Monarchs,,,47.0,31.0
1922,Cleveland Tate Stars,,,15.0,26.0
1922,Detroit Tigers,"861,206","11,184",79.0,75.0
1922,Cuban Stars West,,,18.0,43.0
1922,Philadelphia Athletics,"425,356","5,453",65.0,89.0
1923,Washington Nationals,"357,406","4,524",75.0,78.0
1923,Toledo Tigers,,,10.0,17.0
1923,St. Louis Cardinals,"338,551","4,340",79.0,74.0
1923,St. Louis Stars,,,29.0,43.0
1923,St. Louis Browns,"430,296","5,517",74.0,78.0
1923,Pittsburgh Pirates,"611,082","7,936",87.0,67.0
1923,Philadelphia Phillies,"228,168","3,042",50.0,104.0
1923,Detroit Stars,,,39.0,27.0
1923,Detroit Tigers,"911,377","11,836",83.0,71.0
1923,Cleveland Tate Stars,,,,
1923,Cuban Stars West,,,24.0,33.0
1923,Cuban Stars East,,,22.0,16.0
1923,Cleveland Indians,"558,856","7,165",82.0,71.0
1923,Cincinnati Reds,"575,063","7,373",91.0,63.0
1923,Chicago White Sox,"573,778","7,650",69.0,85.0
1923,Chicago Cubs,"703,705","9,139",83.0,71.0
1923,Chicago American Giants,,,39.0,24.0
1923,Boston Braves,"227,802","2,958",54.0,100.0
1923,Brooklyn Robins,"564,666","7,239",76.0,78.0
1923,Brooklyn Royal Giants,,,16.0,16.0
1923,Boston Red Sox,"229,688","2,945",61.0,91.0
1923,Baltimore Black Sox,,,19.0,33.0
1923,Birmingham Black Barons,,,,
1923,Atlantic City Bacharach Giants,,,23.0,25.0
1923,New York Yankees,"1,007,066","13,251",98.0,54.0
1923,New York Giants,"820,780","10,659",95.0,58.0
1923,New York Lincoln Giants,,,17.0,23.0
1923,Memphis Red Sox,,,,
1923,Milwaukee Bears,,,11.0,42.0
1923,Kansas City Monarchs,,,54.0,32.0
1923,Hilldale Club,,,37.0,21.0
1923,Philadelphia Athletics,"534,122","7,122",69.0,83.0
1923,Indianapolis ABCs,,,44.0,32.0
1924,Washington Potomacs,,,21.0,38.0
1924,St. Louis Stars,,,43.0,41.0
1924,St. Louis Cardinals,"272,885","3,544",65.0,89.0
1924,Pittsburgh Pirates,"736,883","9,570",90.0,63.0
1924,Philadelphia Phillies,"299,818","3,945",55.0,96.0
1924,Philadelphia Athletics,"531,992","7,093",71.0,81.0
1924,St. Louis Browns,"533,349","6,838",74.0,78.0
1924,Cuban Stars West,,,18.0,35.0
1924,Cuban Stars East,,,15.0,33.0
1924,Cleveland Indians,"481,905","6,425",67.0,86.0
1924,Cincinnati Reds,"473,707","6,233",83.0,70.0
1924,Chicago White Sox,"606,658","7,879",66.0,87.0
1924,Chicago Cubs,"716,922","9,191",81.0,72.0
1924,Cleveland Browns,,,15.0,32.0
1924,Chicago American Giants,,,52.0,27.0
1924,Boston Braves,"177,478","2,335",53.0,100.0
1924,Brooklyn Robins,"818,883","10,635",92.0,62.0
1924,Brooklyn Royal Giants,,,15.0,25.0
1924,Boston Red Sox,"448,556","5,825",67.0,87.0
1924,Baltimore Black Sox,,,38.0,23.0
1924,Birmingham Black Barons,,,37.0,44.0
1924,Atlantic City Bacharach Giants,,,35.0,32.0
1924,Indianapolis ABCs,,,5.0,21.0
1924,Detroit Tigers,"1,015,136","13,015",86.0,68.0
1924,Detroit Stars,,,35.0,28.0
1924,Harrisburg Giants,,,30.0,31.0
1924,Hilldale Club,,,47.0,26.0
1924,Kansas City Monarchs,,,57.0,22.0
1924,Memphis Red Sox,,,24.0,36.0
1924,New York Lincoln Giants,,,35.0,28.0
1924,New York Giants,"844,068","10,962",93.0,60.0
1924,New York Yankees,"1,053,533","13,507",89.0,63.0
1924,Washington Nationals,"584,310","7,396",92.0,62.0
1925,Chicago Cubs,"622,610","8,086",68.0,86.0
1925,Chicago American Giants,,,57.0,41.0
1925,Cuban Stars East,,,18.0,26.0
1925,Cleveland Indians,"419,005","5,442",70.0,84.0
1925,Cuban Stars West,,,20.0,30.0
1925,Chicago White Sox,"832,231","10,808",79.0,75.0
1925,Indianapolis ABCs,,,17.0,53.0
1925,Atlantic City Bacharach Giants,,,36.0,38.0
1925,Birmingham Black Barons,,,27.0,59.0
1925,Baltimore Black Sox,,,33.0,31.0
1925,Brooklyn Royal Giants,,,14.0,20.0
1925,Boston Red Sox,"267,782","3,570",47.0,105.0
1925,Brooklyn Robins,"659,435","8,564",68.0,85.0
1925,Boston Braves,"313,528","4,125",70.0,83.0
1925,Cincinnati Reds,"464,920","6,117",80.0,73.0
1925,Wilmington Potomacs,,,10.0,21.0
1925,St. Louis Stars,,,59.0,30.0
1925,St. Louis Cardinals,"404,959","5,328",77.0,76.0
1925,Pittsburgh Pirates,"804,354","10,446",95.0,58.0
1925,Philadelphia Phillies,"304,905","3,960",68.0,85.0
1925,Philadelphia Athletics,"869,703","11,295",88.0,64.0
1925,St. Louis Browns,"462,898","5,935",82.0,71.0
1925,Washington Nationals,"817,199","10,753",96.0,55.0
1925,New York Lincoln Giants,,,7.0,41.0
1925,Memphis Red Sox,,,34.0,49.0
1925,Kansas City Monarchs,,,59.0,23.0
1925,Hilldale Club,,,53.0,18.0
1925,Harrisburg Giants,,,48.0,24.0
1925,Detroit Stars,,,56.0,44.0
1925,New York Yankees,"697,267","8,826",69.0,85.0
1925,New York Giants,"778,993","10,250",86.0,66.0
1925,Detroit Tigers,"820,766","10,659",81.0,73.0
1926,St. Louis Browns,"283,986","3,595",62.0,92.0
1926,St. Louis Stars,,,61.0,35.0
1926,Philadelphia Phillies,"240,600","3,166",58.0,93.0
1926,Philadelphia Athletics,"714,508","10,063",83.0,67.0
1926,New York Yankees,"1,027,675","13,702",91.0,63.0
1926,Pittsburgh Pirates,"798,542","10,108",84.0,69.0
1926,St. Louis Cardinals,"668,428","8,461",89.0,65.0
1926,Cuban Stars West,,,19.0,49.0
1926,Cleveland Indians,"627,426","7,843",88.0,66.0
1926,Cuban Stars East,,,29.0,22.0
1926,Chicago White Sox,"710,339","8,992",81.0,72.0
1926,Chicago Cubs,"885,063","11,347",82.0,72.0
1926,Cleveland Elites,,,8.0,40.0
1926,Cincinnati Reds,"672,987","8,740",87.0,67.0
1926,Chicago American Giants,,,57.0,24.0
1926,Boston Braves,"303,598","3,943",66.0,86.0
1926,Brooklyn Royal Giants,,,11.0,24.0
1926,Brooklyn Robins,"650,819","8,563",71.0,82.0
1926,Boston Red Sox,"285,155","3,703",46.0,107.0
1926,Baltimore Black Sox,,,22.0,38.0
1926,Atlantic City Bacharach Giants,,,43.0,28.0
1926,Indianapolis ABCs,,,40.0,50.0
1926,Detroit Tigers,"711,914","8,789",79.0,75.0
1926,Dayton Marcos,,,6.0,36.0
1926,Detroit Stars,,,52.0,47.0
1926,Harrisburg Giants,,,27.0,22.0
1926,Hilldale Club,,,53.0,33.0
1926,Kansas City Monarchs,,,60.0,22.0
1926,New York Lincoln Giants,,,22.0,31.0
1926,Newark Stars,,,1.0,10.0
1926,New York Giants,"700,362","9,215",74.0,77.0
1926,Washington Nationals,"551,580","7,454",81.0,69.0
1927,Cleveland Hornets,,,13.0,36.0
1927,Chicago Cubs,"1,159,168","14,861",85.0,68.0
1927,Cuban Stars East,,,31.0,29.0
1927,Cleveland Indians,"373,138","4,846",66.0,87.0
1927,Cuban Stars West,,,23.0,46.0
1927,Chicago White Sox,"614,423","8,192",70.0,83.0
1927,Atlantic City Bacharach Giants,,,55.0,35.0
1927,Birmingham Black Barons,,,53.0,44.0
1927,Baltimore Black Sox,,,34.0,36.0
1927,Boston Red Sox,"305,275","3,914",51.0,103.0
